Month,DNI,Cloud Type,Dew Point,Solar Zenith Angle,Wind Speed,Relative Humidity,Temperature,Pressure
1,0,6,-12,105.09,5.1,71.79,-8,920
1,0,6,-12,110.08,5,71.7,-7,920
1,0,7,-11,115.17,5,77.19,-7,920
1,0,6,-11,120.31,4.9,71.36,-7,920
1,0,6,-9,125.45,4.9,79.7,-7,920
1,0,4,-9,130.56,4.7,73.77,-6,920
1,0,1,-8,135.57,4.5,85.4,-6,920
1,0,4,-8,140.39,4.4,79.11,-5,920
1,0,4,-6,144.92,4.4,91.64,-5,920
1,0,4,-6,148.97,4.9,84.98,-4,920
1,0,7,-4,152.32,5.4,94.3,-4,920
1,0,7,-4,154.65,5.6,94.32,-4,920
1,0,7,-4,155.67,5.8,94.83,-4,920
1,0,7,-4,155.2,5.9,94.88,-4,920
1,0,7,-5,153.32,6,96.8,-5,920
1,0,7,-5,150.31,6.1,96.87,-5,920
1,0,7,-6,146.48,6.3,89.83,-5,920
1,0,7,-6,142.11,6.4,89.87,-5,920
1,0,4,-7,137.38,6.5,91.19,-5,920
1,0,7,-7,132.43,6.6,91.24,-5,920
1,0,7,-8,127.34,6.8,85.4,-6,920
1,0,7,-8,122.2,7.1,85.46,-6,920
1,0,4,-9,117.05,7.5,81.6,-7,920
1,0,4,-9,111.93,8.2,81.67,-7,920
1,0,8,-12,106.9,9,72.26,-8,920
1,0,4,-12,101.97,9,78.2,-9,920
1,0,8,-14,97.2,9,67.11,-10,920
1,0,8,-14,92.63,8.7,72.73,-10,930
1,0,8,-16,88.3,8.4,66.73,-11,930
1,0,8,-16,84.26,8.2,66.79,-11,930
1,0,4,-17,80.56,8,62.3,-12,930
1,0,7,-17,77.26,7.7,62.35,-12,930
1,0,4,-17,74.43,7.5,62.47,-12,930
1,0,4,-17,72.11,7.5,57.69,-11,930
1,0,4,-17,70.37,7.5,59.39,-11,930
1,0,7,-17,69.25,7.6,59.4,-10,930
1,25,7,-17,68.78,7.8,60.95,-10,930
1,204,4,-17,68.98,8,56.32,-10,930
1,0,4,-17,69.85,8.2,56.37,-10,930
1,873,1,-17,71.35,8.3,56.4,-10,930
1,838,0,-17,73.44,8.4,54.25,-10,930
1,791,0,-17,76.08,8.2,54.27,-10,930
1,712,0,-18,79.2,8.1,55.01,-11,930
1,595,0,-18,82.75,7.6,59.61,-11,930
1,390,0,-19,86.66,7.2,60.01,-12,930
1,0,1,-19,90.88,6.6,60.03,-13,930
1,0,1,-20,95.36,6.1,59.92,-14,930
1,0,1,-20,100.06,5.8,65.06,-15,930
1,0,1,-21,104.92,5.5,64.74,-16,940
1,0,1,-21,109.92,5.3,64.74,-16,940
1,0,1,-22,115,5.2,65.13,-17,940
1,0,1,-22,120.14,5.2,65.13,-17,940
1,0,0,-22,125.29,5.2,67.12,-17,940
1,0,1,-22,130.4,5.1,67.12,-17,940
1,0,0,-22,135.41,5.1,65.8,-18,940
1,0,0,-22,140.23,5.1,65.79,-18,940
1,0,1,-22,144.75,5.2,72.26,-18,940
1,0,1,-22,148.8,5.2,66.35,-18,930
1,0,1,-22,152.15,5.2,67.61,-18,930
1,0,1,-22,154.5,5.1,67.59,-18,930
1,0,0,-22,155.53,5.1,68.42,-18,930
1,0,1,-22,155.08,4.8,68.41,-18,930
1,0,0,-22,153.23,4.6,73.39,-18,930
1,0,0,-22,150.24,4.1,73.38,-18,930
1,0,1,-23,146.43,3.8,76.17,-19,930
1,0,1,-23,142.07,3.6,76.16,-19,930
1,0,1,-23,137.35,3.4,72.99,-20,930
1,0,8,-23,132.4,3.3,72.97,-20,930
1,0,8,-23,127.32,3.2,78.12,-20,930
1,0,1,-23,122.18,3.2,78.09,-20,930
1,0,8,-23,117.03,3.2,77.89,-21,930
1,0,8,-23,111.91,3.1,77.88,-21,930
1,0,8,-23,106.87,3.1,78.18,-21,930
1,0,8,-23,101.94,3.1,78.19,-21,930
1,0,8,-23,97.17,3.1,78.68,-21,930
1,0,8,-23,92.59,3.1,72.14,-20,930
1,0,8,-23,88.25,3.2,74.23,-20,930
1,605,8,-23,84.2,3.1,62.53,-18,930
1,741,1,-22,80.49,3,60.34,-17,930
1,823,0,-22,77.18,3.1,51.05,-15,930
1,878,0,-22,74.33,3.3,47.73,-14,930
1,913,0,-22,72,3.2,43.96,-13,930
1,938,0,-22,70.25,3.1,46.16,-13,930
1,951,0,-22,69.12,2.9,42.54,-12,930
1,957,0,-21,68.64,2.7,45.22,-12,930
1,955,0,-21,68.84,2.5,41.7,-11,930
1,944,0,-20,69.69,2.3,44.11,-11,930
1,925,0,-20,71.19,2.1,44.08,-11,930
1,894,0,-19,73.28,2,48.51,-11,930
1,849,0,-19,75.91,2,48.49,-11,920
1,780,0,-20,79.03,2,47.6,-12,920
1,673,7,-20,82.58,1.8,51.58,-13,920
1,484,7,-21,86.49,1.7,56.86,-15,920
1,0,8,-21,90.71,2,61.74,-15,920
1,0,7,-22,95.19,2.3,62.4,-16,920
1,0,7,-22,99.89,2.7,62.36,-16,920
1,0,7,-22,104.75,3.1,61.58,-17,920
1,0,7,-22,109.75,3.4,61.53,-16,920
1,0,7,-22,114.84,3.7,63.72,-16,920
1,0,7,-22,119.98,3.7,58.56,-16,920
1,0,7,-21,125.12,3.8,62.92,-16,920
1,0,7,-21,130.23,3.8,62.86,-15,920
1,0,7,-20,135.24,3.8,69.89,-15,920
1,0,7,-20,140.06,3.7,64.28,-15,920
1,0,7,-18,144.58,3.7,73.31,-15,920
1,0,7,-18,148.63,3.6,67.49,-14,910
1,0,7,-16,151.98,3.6,78.46,-14,910
1,0,7,-16,154.33,3.4,72.3,-13,910
1,0,7,-15,155.38,3.3,84.44,-13,910
1,0,7,-15,154.95,3.1,77.88,-12,910
1,0,7,-13,153.12,3,87.19,-11,910
1,0,7,-13,150.16,3,80.49,-10,910
1,0,7,-12,146.37,3,85.91,-10,910
1,0,7,-12,142.02,3,79.37,-10,910
1,0,7,-12,137.31,3,82.3,-10,910
1,0,7,-12,132.37,3,82.33,-9,910
1,0,7,-12,127.29,3.1,84.9,-9,910
1,0,7,-12,122.15,2.7,84.93,-9,910
1,0,7,-11,117,2.3,86.64,-9,920
